Cultivar Name,Cultivar ID,Subpopulation,Plant Height (cm)
2428,C152,Temperate Japonica,100
10340,W146,Indica I,127.4
108S,W150,Indica II,104.6
2,W129,VI/Aromatic,151.2
4484,W086,Indica II,103.4
452,W195,Indica II,123.8
4595,W138,Indica I,102
76--1,C167,Indica Intermediate,108.23
79,W077,VI/Aromatic,182.4
80B,C114,Indica Intermediate,86.87
88B-1,C030,Indica Intermediate,99.57
88B-2,C031,Indica Intermediate,96.27
93072,W149,Indica Intermediate,112.6
9311,C148,Indica II,117.2
99216,W069,Aus,146.4
A_152,W079,Intermediate,147.6
A_5,W139,Temperate Japonica,96.4
AGNO_(PSBRC28),W307,Indica II,101
Ai-Zi-DAO,W197,Indica II,112.8
Ai_Chueh_Ta_Pai_Ku,W029,Indica Intermediate,147.8
Aichi_Asahi,W290,Temperate Japonica,116.4
Aihechi,C129,Indica Intermediate,166.87
Aijiaonante,C019,Indica I,80.25
Aimakang,C173,Indica I,114.4
Aimi,C178,Indica I,107.67
Aituogu151,C122,Indica I,118.1
Ajaya,W242,Indica Intermediate,106.2
Ak_Tokhum,W050,VI/Aromatic,174.8
AKITAKOMACHI,W305,Temperate Japonica,74
AKP_4,W071,Indica Intermediate,104.6
AMANE,W101,Indica Intermediate,149.8
Amareles,W258,VI/Aromatic,158.4
Amo13_(Sana),W172,Indica II,100.2
Anambae_ndanggalasi,W273,Tropical Japonica,156.2
AnnongwangengB-1,C017,Temperate Japonica,92.67
AnnongwangengB-2,C018,Temperate Japonica,78.27
Ao_Chiu_2_Hao,W144,Indica I,168.4
ARC_10633,W112,Indica III,167.2
Ardito,W061,Japonica Intermediate,121.8
ASD16,W192,Intermediate,121.2
ASD18,W239,Indica Intermediate,109.8
ASWINA_330,W330,Aus,149.6
At354,W223,Indica II,103.6
AUS_371,W296,Aus,138.8
AUS_373,W297,Aus,161.2
AUS_449,W287,Aus,150.2
AZUCENA,C005,Tropical Japonica,163.33
B805D-MR-16-8-3,W078,Indica Intermediate,96.8
Babaili,C101,Temperate Japonica,192.07
Babaomi,W198,Indica Intermediate,180
Baikehualuo,C127,Indica I,152.54
Baikezaohe,C184,Indica I,156.17
Balilla,C150,Temperate Japonica,90.32
Baoxie-7B,C160,Indica Intermediate,83.68
Basmati370,W211,Indica II,97
BASMATI_385,W306,VI/Aromatic,129.6
Bawangbian1,C059,Indica I,113.43
Beizinuo,C199,Indica I,187.53
Benbanggu-1,C076,Indica I,127.36
Benbanggu-2,C077,Indica I,149.8
BERLIN,W009,Indica III,193.8
Bg300,W180,Indica Intermediate,108
BG304,W224,Indica II,116
Bg90-2,W168,Indica II,101.4
Bg94-1,W181,Indica Intermediate,105.8
Bhavani,W212,Indica Intermediate,159.6
BHIM_DHAN,W122,Japonica Intermediate,169.8
Bintapan,W262,Indica I,83.8
Biwusheng,C200,Indica I,189.1
BKN_6987-68-14,W044,Indica II,98.8
BLUE_STICK,W038,Temperate Japonica,138
Bombilla,W120,Temperate Japonica,109.6
BR11,W147,Indica Intermediate,117.6
BR24,W148,Indica Intermediate,168.4
British_Honduras_Creole,W303,Tropical Japonica,157.8
BRRI_DHAN_28,W314,Indica II,111.2
BRRI_DHAN_29,W310,Indica Intermediate,111.2
Buphopa,W127,Japonica Intermediate,142.6
C.B._II,W090,Aus,137.4
C418,W151,Indica II,98
C70,W233,Indica Intermediate,114.2
C_5560,W003,Tropical Japonica,140.4
C_8429,W022,Tropical Japonica,146
CAROLINO_164,W104,Aus,145.4
CDR22,W152,Indica II,110
Celiaj,W082,Temperate Japonica,125
Chacareiro_Uruguay,W027,Temperate Japonica,116.8
ChaoyangyihaoB,C156,Indica I,73.13
Chengduai3hao,C037,Indica I,105.33
Chenghui448,W153,Indica II,103.8
Chengnongshuijing,C050,Indica II,108.81
Chenwan3hao,C176,Indica Intermediate,97.67
chikenuo,C083,Temperate Japonica,174.7
CHOROFA,W264,Indica Intermediate,91.4
Chun_118-33,W036,Indica I,157.8
CHUNJIANGZAO_NO._1,W088,Temperate Japonica,70.6
CIBOGO,W315,Indica II,102
CIGEULIS,W312,Indica II,111.6
CIHERANG,W317,Indica II,110.4
CM1;_HAIPONG,W137,Indica Intermediate,125.6
CNTLR80076-44-1-1-1,W083,Indica Intermediate,116.4
CPSLO_17,W304,Intermediate,95.8
CR203,W182,Indica II,101.2
Criollo_Chivacoa_2,W007,Tropical Japonica,150.8
CSORNUJ,W064,Temperate Japonica,106.2
Cungunuo,C137,Temperate Japonica,170
cunsanli,C074,Temperate Japonica,143.65
CYPRESS,C010,Tropical Japonica,106.7
Dacca6,W256,VI/Aromatic,160
Daegujo,W283,Temperate Japonica,68.4
Dandongludao,C057,Japonica Intermediate,123.63
Dangyu5hao,C069,Indica II,115.8
Dara,W134,Aus,150
Daudzai_Field_Mix,W106,Aus,169.4
Dianjing,W193,Temperate Japonica,121.4
Dianrui409B,C027,Indica Intermediate,100.47
Diantun502,W199,Indica Intermediate,125.2
Dichroa_Alef_Uslkij,W043,Indica Intermediate,105.4
DJ_102,W096,Aus,165.2
DJ_24,W095,Aus,165.8
DNJ_121,W142,Aus,149.4
DNJ_179,W141,Aus,151.6
Doble_Carolina,W028,Aus,164.2
Dodda,W243,Indica II,105.6
Dom_Sufid,C002,VI/Aromatic,177.62
Domsiah,W219,VI/Aromatic,161
Dongtingwanxian,C060,Indica I,114.73
Dourado_Precoce,W288,Tropical Japonica,144.2
Dular,C015,Aus,152.2
E_B_Gopher,W002,Tropical Japonica,157.4
Egyptian_Wild_Type,W089,Indica III,136.4
Eiko,W250,Temperate Japonica,123.2
EMBRAPA_1200,W118,Tropical Japonica,84.2
Er_chiu_ching,W274,Indica I,70.8
Erjiunan1hao,C155,Indica I,69.47
Esiniu,C073,Indica I,167.83
F6,W194,Indica II,108.8
Fanhaopi,C086,Aus,147.17
Feidongtangdao,C181,Temperate Japonica,137.9
Feienuo2,W323,Japonica Intermediate,136.4
Fengaizhan,W154,Indica II,102.4
Funingzipi,C023,Temperate Japonica,89.39
Gallawa,W091,Aus,148.2
Gang46B,W155,Indica Intermediate,98.4
Gaoyangdiandao,C082,Temperate Japonica,156.46
Garia,W286,Aus,154.8
Gasym_Hany,W081,VI/Aromatic,130.2
Gayabyeo,W174,Indica II,84
Gazan,W068,Temperate Japonica,139.8
Geng87-304,C063,Temperate Japonica,115.54
Gerdeh,C003,Japonica Intermediate,141.57
Ginga,W261,Intermediate,132.4
Gizal159,W209,Temperate Japonica,142.4
Gongju73,C039,Indica I,109.43
Govnd,W237,Indica II,115.8
GPNO_1106,W053,Tropical Japonica,152.6
